P1,Average,,,,,,,
,Congruent,0.645776858,,,,,,
,Incongruent,0.7663966,,,,Partiticipant,Congruent_RT,Incongruent_RT
,,,,,,P1,0.645776858,0.7663966
,,,,,,P2,0.766642626,0.906704111
P2,Average,,,,,P3,0.552812912,0.570975829
,Congruent,0.766642626,,,,Grand Mean,0.655077465,0.748025513
,Incongruent,0.906704111,,,,SD,0.107217828,0.168616406
,,,,,,SE,0.061902242,0.097350728
,,,,,,,,
,,,,,,t-test,0.133207666,
P3,Average,,,,,p- value,0.906223039,
,Congruent,0.552812912,,,,,,
,Incongruent,0.570975829,,,,,,
