thisN,thisTrialN,thisRepN,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Screen.started,text.started,text.stopped,Welcome_Screen.stopped,num_distr,trial.started,Fixation.started,target.started,mouse_resp.started,trial.stopped,trials.mouse_resp.x,trials.mouse_resp.y,trials.mouse_resp.leftButton,trials.mouse_resp.midButton,trials.mouse_resp.rightButton,trials.mouse_resp.time,trials.mouse_resp.clicked_name,Goodbye_Screen.started,GoodbyeScreen.started,GoodbyeScreen.stopped,Goodbye_Screen.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.003081100000144943,0.00800920000028782,5.062854300000254,4.998184600000059,,,,,,,,,,,,,,,,,,P2,001,2025-09-26_22h23.51.737,VST,,2025.1.1,59.99332874189894,2025-09-26 22h24.01.001158 +0530,
0,0,0,[np.float64(-0.2601851851851852)],[np.float64(-0.44907407407407407)],[1],[0],[0],[2.376153499999873],['target'],0,0,0,0,5.062854300000254,,,,,,5,5.045665900000131,5.062854300000254,5.062854300000254,0.0457219999998415,7.421920700000101,[np.float64(-0.2601851851851852)],[np.float64(-0.44907407407407407)],[1],[0],[0],[2.376153499999873],['target'],,,,,P2,001,2025-09-26_22h23.51.737,VST,,2025.1.1,59.99332874189894,2025-09-26 22h24.01.001158 +0530,
1,0,1,[np.float64(-0.29814814814814816)],[np.float64(-0.48703703703703705)],[1],[0],[0],[1.2054367000000639],['target'],1,0,1,0,7.457134900000256,,,,,,5,7.44679830000041,7.457134900000256,7.457134900000256,0.024675999999999476,8.652321800000209,[np.float64(-0.29814814814814816)],[np.float64(-0.48703703703703705)],[1],[0],[0],[1.2054367000000639],['target'],,,,,P2,001,2025-09-26_22h23.51.737,VST,,2025.1.1,59.99332874189894,2025-09-26 22h24.01.001158 +0530,
2,0,2,[np.float64(0.2574074074074074)],[np.float64(0.02962962962962963)],[1],[0],[0],[1.291617099999712],['target'],2,0,2,0,8.688516000000163,,,,,,5,8.675970900000266,8.688516000000163,8.688516000000163,0.02346460000035222,9.967726400000174,[np.float64(0.2574074074074074)],[np.float64(0.02962962962962963)],[1],[0],[0],[1.291617099999712],['target'],,,,,P2,001,2025-09-26_22h23.51.737,VST,,2025.1.1,59.99332874189894,2025-09-26 22h24.01.001158 +0530,
3,0,3,[np.float64(0.07592592592592592)],[np.float64(-0.07222222222222222)],[1],[0],[0],[1.2031309999997575],['target'],3,0,3,0,10.014007200000378,,,,,,5,9.99994390000029,10.014007200000378,10.014007200000378,0.031955699999798526,11.203167100000428,[np.float64(0.07592592592592592)],[np.float64(-0.07222222222222222)],[1],[0],[0],[1.2031309999997575],['target'],,,,,P2,001,2025-09-26_22h23.51.737,VST,,2025.1.1,59.99332874189894,2025-09-26 22h24.01.001158 +0530,
4,0,4,[np.float64(0.022222222222222223)],[np.float64(0.4564814814814815)],[1],[0],[0],[1.4072371000002022],['target'],4,0,4,0,11.239397800000006,,,,,,5,11.22746750000033,11.239397800000006,11.239397800000006,0.024119100000007165,12.634807300000375,[np.float64(0.022222222222222223)],[np.float64(0.4564814814814815)],[1],[0],[0],[1.4072371000002022],['target'],,,,,P2,001,2025-09-26_22h23.51.737,VST,,2025.1.1,59.99332874189894,2025-09-26 22h24.01.001158 +0530,
5,0,5,[np.float64(-0.31666666666666665)],[np.float64(0.2657407407407407)],[1],[0],[0],[1.0137377999999444],['target'],5,0,5,0,12.670448700000179,,,,,,5,12.657988600000408,12.670448700000179,12.670448700000179,0.02300059999970472,13.671822200000406,[np.float64(-0.31666666666666665)],[np.float64(0.2657407407407407)],[1],[0],[0],[1.0137377999999444],['target'],,,,,P2,001,2025-09-26_22h23.51.737,VST,,2025.1.1,59.99332874189894,2025-09-26 22h24.01.001158 +0530,
6,0,6,[np.float64(-0.4935185185185185)],[np.float64(-0.18796296296296297)],[1],[0],[0],[1.260305199999948],['target'],6,0,6,0,13.740526200000204,,,,,,10,13.72153070000013,13.740526200000204,13.740526200000204,0.049533400000200345,14.981976300000042,[np.float64(-0.4935185185185185)],[np.float64(-0.18796296296296297)],[1],[0],[0],[1.260305199999948],['target'],,,,,P2,001,2025-09-26_22h23.51.737,VST,,2025.1.1,59.99332874189894,2025-09-26 22h24.01.001158 +0530,
7,0,7,[np.float64(-0.4861111111111111)],[np.float64(0.43333333333333335)],[1],[0],[0],[1.4949808999999732],['target'],7,0,7,0,15.159002800000053,,,,,,10,15.140248300000167,15.159002800000053,15.159002800000053,0.15795629999956873,16.635322300000098,[np.float64(-0.4861111111111111)],[np.float64(0.43333333333333335)],[1],[0],[0],[1.4949808999999732],['target'],,,,,P2,001,2025-09-26_22h23.51.737,VST,,2025.1.1,59.99332874189894,2025-09-26 22h24.01.001158 +0530,
8,0,8,[np.float64(-0.15462962962962962)],[np.float64(0.3037037037037037)],[1],[0],[0],[1.1680272999997214],['target'],8,0,8,0,16.70117250000021,,,,,,10,16.683178400000088,16.70117250000021,16.70117250000021,0.04764239999985875,17.851299500000096,[np.float64(-0.15462962962962962)],[np.float64(0.3037037037037037)],[1],[0],[0],[1.1680272999997214],['target'],,,,,P2,001,2025-09-26_22h23.51.737,VST,,2025.1.1,59.99332874189894,2025-09-26 22h24.01.001158 +0530,
