Word,Colour,stim_condition,Corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text.started,Instruction.stopped,trial.started,fixation_polygon.started,fixation_polygon.stopped,Stroop_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you.started,text_2.started,text_2.stopped,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0053371,0.0126387,10.0088832,,,,,,,,,,,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
RED,blue,I,b,0,0,0,b,1,1.7572792,None,0,0,0,1,10.0397862,,,,,10.0344216,10.0397862,10.5082333,10.5082333,10.5082333,12.284699,b,1,1.7572792,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
BLUE,blue,C,b,1,1,0,b,1,0.4879562,None,0,1,1,2,12.3011338,,,,,12.2957559,12.3011338,12.792142,12.792142,12.792142,13.294613,b,1,0.4879562,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
RED,red,C,r,2,2,0,r,1,0.5826414,None,0,2,2,0,13.3080204,,,,,13.302442,13.3080204,13.8084761,13.8084761,13.8084761,14.3953679,r,1,0.5826414,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
BLUE,red,I,r,3,3,0,r,1,1.13883,None,0,3,3,3,14.4082322,,,,,14.3998837,14.4082322,14.9080289,14.9080289,14.9080289,16.0617873,r,1,1.13883,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
RED,red,C,r,4,0,1,r,1,0.5468719,None,1,0,4,0,16.0746719,,,,,16.0665059,16.0746719,16.5749586,16.5749586,16.5749586,17.1281846,r,1,0.5468719,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
BLUE,red,I,r,5,1,1,r,1,0.439665,None,1,1,5,3,17.1413331,,,,,17.1338001,17.1413331,17.6413206,17.6413206,17.6413206,18.0945404,r,1,0.439665,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
BLUE,blue,C,b,6,2,1,b,1,0.8623614,None,1,2,6,2,18.108441,,,,,18.095701,18.108441,18.6085623,18.6085623,18.6085623,19.4773174,b,1,0.8623614,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
RED,blue,I,b,7,3,1,b,1,0.8316612,None,1,3,7,1,19.4912239,,,,,19.4813411,19.4912239,19.991622,19.991622,19.991622,20.8267977,b,1,0.8316612,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
BLUE,red,I,r,8,0,2,r,1,0.507036,None,2,0,8,3,20.8412598,,,,,20.8323353,20.8412598,21.3416967,21.3416967,21.3416967,21.8613653,r,1,0.507036,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
RED,red,C,r,9,1,2,r,1,0.3376278,None,2,1,9,0,21.8750838,,,,,21.8659535,21.8750838,22.3748855,22.3748855,22.3748855,22.7285172,r,1,0.3376278,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
BLUE,blue,C,b,10,2,2,b,1,0.3237606,None,2,2,10,2,22.7414405,,,,,22.7333908,22.7414405,23.2412095,23.2412095,23.2412095,23.5762733,b,1,0.3237606,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
RED,blue,I,b,11,3,2,b,1,0.423794,None,2,3,11,1,23.5913839,,,,,23.5822235,23.5913839,24.0916872,24.0916872,24.0916872,24.5273704,b,1,0.423794,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
RED,blue,I,b,12,0,3,b,1,0.3271504,None,3,0,12,1,24.5418731,,,,,24.5283197,24.5418731,25.0417897,25.0417897,25.0417897,25.3777662,b,1,0.3271504,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
BLUE,red,I,r,13,1,3,r,1,0.4439238,None,3,1,13,3,25.3914201,,,,,25.3827595,25.3914201,25.8913893,25.8913893,25.8913893,26.3442484,r,1,0.4439238,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
RED,red,C,r,14,2,3,r,1,0.5022915,None,3,2,14,0,26.3579951,,,,,26.3496555,26.3579951,26.858085,26.858085,26.858085,27.3639567,r,1,0.5022915,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
BLUE,blue,C,b,15,3,3,b,1,0.5407803,None,3,3,15,2,27.3746915,,,,,27.3689278,27.3746915,27.874603,27.874603,27.874603,28.4296113,b,1,0.5407803,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
BLUE,red,I,r,16,0,4,r,1,0.5037049,None,4,0,16,3,28.4412245,,,,,28.4305851,28.4412245,28.9411362,28.9411362,28.9411362,29.4601132,r,1,0.5037049,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
RED,red,C,r,17,1,4,r,1,0.4454304,None,4,1,17,0,29.4743827,,,,,29.4664793,29.4743827,29.974438,29.974438,29.974438,30.4281086,r,1,0.4454304,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
BLUE,blue,C,b,18,2,4,b,1,0.3757846,None,4,2,18,2,30.4410624,,,,,30.4326131,30.4410624,30.9414102,30.9414102,30.9414102,31.3273943,b,1,0.3757846,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
RED,blue,I,b,19,3,4,b,1,0.5593287,None,4,3,19,1,31.341359,,,,,31.3329407,31.341359,31.8414102,31.8414102,31.8414102,32.4099206,b,1,0.5593287,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
RED,red,C,r,20,0,5,r,1,0.3752159,None,5,0,20,0,32.4245509,,,,,32.4107993,32.4245509,32.9243529,32.9243529,32.9243529,33.310004,r,1,0.3752159,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
RED,blue,I,b,21,1,5,b,1,0.4682845,None,5,1,21,1,33.3246684,,,,,33.3109185,33.3246684,33.8246405,33.8246405,33.8246405,34.29651,b,1,0.4682845,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
BLUE,red,I,r,22,2,5,r,1,0.4216382,None,5,2,22,3,34.3078793,,,,,34.3013912,34.3078793,34.8076178,34.8076178,34.8076178,35.2434765,r,1,0.4216382,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
BLUE,blue,C,b,23,3,5,b,1,0.4926928,None,5,3,23,2,35.2576773,,,,,35.2446479,35.2576773,35.7581369,35.7581369,35.7581369,36.2600015,b,1,0.4926928,None,,,,,P3,1,2025-08-24_21h32.03.004,Stroop task,2024.2.4,59.725026,2025-08-24 21h32.13.580192 +0530
